,status,card_present_flag,bpay_biller_code,account,txn_description,first_name,balance,date,gender,age,merchant_suburb,merchant_state,extraction,amount,customer_id,movement,long,lat,merchant_long,merchant_lat,year_month,weekday,distance
0,authorized,1.0,,ACC-1598451071,POS,Diana,35.39,2018-08-01,F,26,Ashmore,QLD,2018-08-01T01:01:15.000+0000,16.25,CUS-2487424745,debit,153.41,-27.95,153.38,-27.99,2018-08,Wednesday,5.334912884728506
1,authorized,0.0,,ACC-1598451071,SALES-POS,Diana,21.2,2018-08-01,F,26,Sydney,NSW,2018-08-01T01:13:45.000+0000,14.19,CUS-2487424745,debit,153.41,-27.95,151.21,-33.87,2018-08,Wednesday,690.864192522903
2,authorized,1.0,,ACC-1222300524,POS,Michael,5.71,2018-08-01,M,38,Sydney,NSW,2018-08-01T01:26:15.000+0000,6.42,CUS-2142601169,debit,151.23,-33.94,151.21,-33.87,2018-08,Wednesday,7.999229174724963
3,authorized,1.0,,ACC-1037050564,SALES-POS,Rhonda,2117.22,2018-08-01,F,40,Buderim,QLD,2018-08-01T01:38:45.000+0000,40.9,CUS-1614226872,debit,153.1,-27.66,153.05,-26.68,2018-08,Wednesday,109.08318511313331
4,authorized,1.0,,ACC-1598451071,SALES-POS,Diana,17.95,2018-08-01,F,26,Mermaid Beach,QLD,2018-08-01T01:51:15.000+0000,3.25,CUS-2487424745,debit,153.41,-27.95,153.44,-28.06,2018-08,Wednesday,12.580873732396661
5,posted,,,ACC-1608363396,PAYMENT,Robert,1705.43,2018-08-01,M,20,,,2018-08-01T02:00:00.000+0000,163.0,CUS-2688605418,debit,151.22,-33.87,,,2018-08,Wednesday,
6,authorized,1.0,,ACC-2776252858,SALES-POS,Kristin,1248.36,2018-08-01,F,43,Kalkallo,VIC,2018-08-01T02:23:04.000+0000,61.06,CUS-4123612273,debit,144.95,-37.76,144.95,-37.53,2018-08,Wednesday,25.574782227250594
7,authorized,1.0,,ACC-2776252858,POS,Kristin,1232.75,2018-08-01,F,43,Melbourne,VIC,2018-08-01T04:11:25.000+0000,15.61,CUS-4123612273,debit,144.95,-37.76,144.96,-37.81,2018-08,Wednesday,5.6292392634845685
8,authorized,1.0,,ACC-182446574,POS,Tonya,213.16,2018-08-01,F,27,Yokine,WA,2018-08-01T04:40:00.000+0000,19.25,CUS-3026014945,debit,116.06,-32.0,115.85,-31.9,2018-08,Wednesday,22.720372823703638
9,posted,,,ACC-602667573,INTER BANK,Michael,466.58,2018-08-01,M,40,,,2018-08-01T06:00:00.000+0000,21.0,CUS-2031327464,debit,151.23,-33.96,,,2018-08,Wednesday,
